Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
POST,25186,534,10,3785,"316,53","0,000%","416,60050","85,84","88,28","211,0"
GET,24956,416,4,3402,"299,35","0,000%","413,00786","84,91","89,94","210,5"
TOTAL,50142,475,4,3785,"313,63","0,000%","829,39659","170,71","178,18","210,8"
